Feature,365_FC_CURE_SO010-S2_Male_CD,427_FC_CURE_SO105-S2_Male_CD,367_FC_CURE_SO107-M15_Female_CD,023_FC_CURE_SO110-M3_Male_CD,357_FC_CURE_SO111-S2_Male_CD,265_FC_CURE_SO114-M21_Female_CD,327_FC_CURE_SO116-S2_Female_CD,400_FC_CURE_SO014-S2_Female_CD,241_FC_CURE_SO002-M3_Male_CD,337_FC_CURE_SO022-S2_Male_CD,402_FC_CURE_SO024-M6_Male_CD,216_FC_CURE_SO027-M6_Female_CD,414_FC_CURE_SO003-M15_Male_CD,100_FC_CURE_SO032-S2_Female_CD,372_FC_CURE_SO033-S2_Female_CD,250_FC_CURE_SO036-S2_Female_CD,275_FC_CURE_SO038_S2_Male_CD,281_FC_CURE_SO039-S_Male_CD,355_FC_CURE_SO043-M6_Male_CD,310_FC_CURE_SO044-S2_Male_CD,424_FC_CURE_SO048-M3_Male_CD,394_FC_CURE_SO005-S2_Male_CD,008_FC_CURE_SO055-M3_Female_CD,429_FC_CURE_SO056-M9_Female_CD,225_FC_CURE_SO057-M3_Male_CD,299_FC_CURE_SO059-S2_Female_CD,352_FC_CURE_SO061-S2_Female_CD,217_FC_CURE_SO062-M3_Male_CD,269_FC_CURE_SO066-S2_Male_CD,212_FC_CURE_SO007-S2_Male_CD,042_FC_CURE_SO071-S_Male_CD,346_FC_CURE_SO072-S2_Male_CD,420_FC_CURE_078-M3_Male_CD,396_FC_CURE_SO009-S2_Female_CD
Maleimide,0.064561849,0.085534124,0.175577215,0.080787372,0.071550751,0.16580723,0.059914806,0.08787449,0.070768297,0.052768325,0.066153734,0.056922779,0.059751849,0.091254688,0.093191015,0.056369858,0.094134595,0.060022195,0.057065221,0.034729021,0.043032218,0.079541177,0.053794304,0.238210404,0.096744087,0.132649864,0.128578336,0.061992168,0,0.097971449,0.087453144,0.145135156,0.107063164,0.100030687
Malonate,0.05358223,0.437392077,0.405418683,0.196478729,0.107599945,0.665618867,0.10157752,0.176310442,0.101686515,0.129319557,0.055071963,0.113832757,0.138264467,0.231770581,0.153928775,0.665735147,0.296700695,0.307192711,0.105561436,0.404383397,0.069272185,0.391594021,0.040770964,2.203941586,0.210482514,0.536194712,0.754986985,0.082620585,2.086651126,0.233048419,0.293641721,1.095934602,0.341029031,0.094429873
Mandelate,0.063698012,0.082730947,0.796116118,0.091975458,0.067446692,0.384083496,0.123812182,0.072441657,0.1163351,0.065886002,0.08690496,0.110465853,0.070372745,0.087372091,0.140891162,0.106965538,1.162918341,0.146205847,0.064736553,0.056239325,0.095632865,0.083100106,0.028124984,2.5172719,0.446730258,0.185895104,0.205613803,0.048966033,15.44792626,0.170288879,0.102009633,0.102780296,0.090715327,0.094165822
Mannitol,0.26952334,1.058673853,1.513779173,0.259600914,0.235658709,0.866787927,0.747069875,0.948368383,0.583081763,0.134329936,0.617044999,0.395527337,0.319279932,1.916028861,0.976016786,0.606233146,4.350498398,5.92761704,0.095439445,0.939902703,0.191165051,1.291849844,0.118608872,9.872965031,1.598041627,0.862294072,0.324853977,0.083919654,4.78110045,0.352021932,0.272403497,0.610832348,0.506074365,0.622702851
Melatonin,0.021129218,1.971820307,0.123748308,0.102158253,0.250367076,0.121648335,0.838471875,0.020647474,0.251203135,0.27434271,0.378023037,0.111815324,1.904463893,0.217462974,0.046392877,0.661675935,0.023853199,0.043831132,0.339104302,0.032534528,0.21162914,0.050098589,0.144828522,0,0.08640326,0.553935228,0.205688009,0.660561054,5.417686816,0.09578963,0.054194435,0.036887458,0.078900589,0.58080308
Mesaconic acid,0.05860067,0.105943661,0.119621739,0.150341305,0.074414175,0.134501619,0.070898865,0.141782068,0.121212926,0.101806949,0.050868853,0.10634696,0.056281957,0.162239668,0.060264483,0.281631481,0.495519159,0.501420255,0.064035397,0.482792055,0.032058746,0.109399856,0.065246659,0.292945556,0.088590894,0.151933993,0.093137758,0.039670857,0.293652789,0.27115344,0.067849273,0.316999009,0.117732277,0.137569463
Methionine,8.895948067,70.40049626,15.93926746,2.216914258,5.528306128,40.80957888,49.3486567,30.32941104,47.69594794,2.61997207,14.71616486,32.73456812,31.87989409,5.648281971,73.05108538,61.94694687,54.34392958,11.26569143,2.326215979,76.72390735,1.132836783,17.01441208,2.628295598,42.75213174,18.76278005,43.85947749,20.52325013,0.68616773,77.05022473,9.264660517,128.8725993,16.28885377,97.3857097,61.49049413
Methyglutarate,0.168970417,0.421512429,0.644260574,0.235803593,0.210641817,0.300035506,0.170404695,0.41529028,0.284417478,0.151941534,0.14164138,0.228963915,0.109737731,0.301061705,0.228833988,0.352777311,0.452776602,0.421387234,0.082333155,0.46198119,0.131561668,1.120000248,0.19671817,0.618833886,0.126838214,0.391623235,0.263184675,0.086531846,0.58240049,0.331643859,0.16257203,0.191768674,0.866995229,0.222310806
Methyl 4-Aminobutyrate,3.148083927,3.178088025,15.84642824,2.676512299,3.727782106,5.852037627,3.26043632,4.216731301,2.256264235,2.900860717,1.835330779,1.212672189,3.0903169,2.948576889,1.493497945,2.365524609,1.043711627,1.861840688,3.449771981,1.117663138,2.528266952,2.668871775,1.671031462,9.225487542,4.124621091,6.863010519,6.334759639,2.47618403,13.13158109,1.994834661,3.08171389,5.625540811,2.242403495,4.097759921
Methyl Galactoside,0.185217624,2.818560986,1.761654575,0.2179882,0.325287917,3.932338256,0.497638745,0.700593798,0.836194894,0.1247609,0.634135432,3.151781235,2.390759467,0.406636426,3.485300925,2.417115228,4.029383985,0.914789726,0.127237351,3.384277565,0.060756829,1.369981736,0.190756285,3.960754862,1.112338369,0.857591427,0.355109031,0.069653524,5.615777388,2.931850497,1.125834805,1.061011681,3.478879165,0.642164816
