Feature,365_FC_CURE_SO010-S2_Male_CD,427_FC_CURE_SO105-S2_Male_CD,367_FC_CURE_SO107-M15_Female_CD,023_FC_CURE_SO110-M3_Male_CD,357_FC_CURE_SO111-S2_Male_CD,265_FC_CURE_SO114-M21_Female_CD,327_FC_CURE_SO116-S2_Female_CD,400_FC_CURE_SO014-S2_Female_CD,241_FC_CURE_SO002-M3_Male_CD,337_FC_CURE_SO022-S2_Male_CD,402_FC_CURE_SO024-M6_Male_CD,216_FC_CURE_SO027-M6_Female_CD,414_FC_CURE_SO003-M15_Male_CD,100_FC_CURE_SO032-S2_Female_CD,372_FC_CURE_SO033-S2_Female_CD,250_FC_CURE_SO036-S2_Female_CD,275_FC_CURE_SO038_S2_Male_CD,281_FC_CURE_SO039-S_Male_CD,355_FC_CURE_SO043-M6_Male_CD,310_FC_CURE_SO044-S2_Male_CD,424_FC_CURE_SO048-M3_Male_CD,394_FC_CURE_SO005-S2_Male_CD,008_FC_CURE_SO055-M3_Female_CD,429_FC_CURE_SO056-M9_Female_CD,225_FC_CURE_SO057-M3_Male_CD,299_FC_CURE_SO059-S2_Female_CD,352_FC_CURE_SO061-S2_Female_CD,217_FC_CURE_SO062-M3_Male_CD,269_FC_CURE_SO066-S2_Male_CD,212_FC_CURE_SO007-S2_Male_CD,042_FC_CURE_SO071-S_Male_CD,346_FC_CURE_SO072-S2_Male_CD,420_FC_CURE_078-M3_Male_CD,396_FC_CURE_SO009-S2_Female_CD
N-Methylaspartate,0.044158583,0.123438585,0.13968076,0.300824062,0.081546066,0.538008201,0.045021228,0.075972202,0.355048772,0.075760229,0.047035832,0.041528794,0.040593617,0.185390137,0.027324845,0.048891693,0.109662081,0.060536641,0.078002835,0.079576524,0.045548678,0.060613011,0.421001973,0.219942241,0.096293121,0.094208257,0.132083686,0.226275671,0.149852079,0.60782223,0.156463079,0.134481499,0.138384053,0.074057561
N-Methylglutamate,0.185843176,0.301216012,0.731148768,0.239429622,0.400545416,1.599067594,0.094475412,0.128182507,0.293435489,0.128905539,0.218823307,0.09037103,0.377144015,0.57070599,0.054350569,0.147517346,0.695764195,0.324504639,0.125050106,0.063373577,0.065908008,0.146530528,0.07335488,0.465423576,0.195211271,0.21254605,0.261787708,0.136672926,1.18321313,0.198112047,0.154817996,0.218690213,0.091726512,0.17947089
N6-(Delta2-Isopentenyl)-Adenine,0.386750313,0.456001844,0.819335734,0.547891758,0.433073216,0.445070437,0,0.379678827,0.450475497,0.200038105,0.18350697,0.402604012,0.283678702,0,0.076515962,0,0.197310193,0.18363947,0.342391322,0.155227497,0.139109767,0.217455791,0.188277464,1.06593387,0.476286191,1.858046777,1.005929534,0.315141944,0.234577931,1.078771534,0.65239369,0.509745593,0.139056468,0.60584033
NAD+,0.119698302,0.038084228,0.083155381,3.792363299,1.847058985,0.127726139,0.058264765,0,0.045537544,1.74995548,0.18066824,0.025092338,0.886745013,0.314202391,0.059995697,0.066101478,0.054228793,0.01376097,2.336226728,0.065214428,1.996767765,0,2.189692649,0.101020238,7.313103901,0.161302884,0.231681461,0.907762613,0.028984416,1.06287192,1.4497756,1.933647119,0.03665709,0.121528062
NAPQI,0.505538985,0.617600463,0.437456275,0.858388901,1.608461972,0.818092062,0.159294463,0.236617047,0.781493362,0.438417499,0.694709572,0.759251641,357.1728875,0.321170455,0.101583248,1.040479229,0.126015884,0.828282546,0.640004284,0.186025557,213.5413209,0.075806576,0.428092995,1.037003043,0.376631969,0.730641942,0.758418399,0.646839678,1.608374407,0.208756307,2.091091372,271.1037924,0.46431548,0.679229852
Nervonic acid,4.270998282,1.846130369,0.724419813,3.908600976,0.400342588,1.314386247,0.528278713,0.014556221,0.86862984,2.987167081,0.005030873,0.004760419,1.322618691,0.011471144,2.236752118,0.815329661,0.001705451,0.002812989,0,0.001689532,0,0.148816802,1.155528461,0,0.215921814,2.409653372,6.823431894,0.589654485,0.015054903,0.835681321,0.009931832,0.021926572,1.387500409,1.680045566
Nicotinamide,0.084486965,0.188975719,1.709598327,0.734585472,0.205409404,1.065978341,0.457907375,2.063235468,0.156640082,1.10003408,0.175498412,7.372610911,0.123045136,0.108066233,16.4215604,0.442936579,0.105024101,0.096245569,0.09253481,23.78441128,5.721019628,7.413313339,2.923592541,15.05733742,27.69136005,0.244177649,0.223324648,0.06923957,0.220706579,0.184331087,0.301623721,1.914209841,10.74146341,3.446369774
Nicotinamide Mononucleotide,0.010751975,0.026099635,0.138065232,0.243762698,0.254580959,0.043802294,0.022484956,0.029991131,0.017853675,0.216565661,0.028758341,0.005038607,0.19861949,0.051253103,0.014844209,0.017057436,0.057554062,0.01495538,0.112653695,0.012256726,0.080737216,0.033891975,0.04255609,0.201786761,0.364808617,0.038202885,0.011148663,0.067543073,0.053342079,0.06472082,0.050426799,0.236768006,0.020317591,0.02532645
nicotinamide N-oxide,10.81728341,25.26344132,1.103241951,0.493361502,11.37691218,3.460105634,19.40714491,14.91728552,14.48387155,2.540773083,12.79134344,9.563227351,17.14596189,6.648665696,16.16274963,22.82434552,0.179824464,4.132956744,2.368586543,88.99973253,0.470594269,1.217141063,3.233371115,31.89251881,48.28563096,18.77103807,6.943262344,0.31954568,5.361548578,4.442757681,2.546956751,21.69856092,32.98129369,14.45748222
Nicotinate,2.436615361,7.887475708,19.38565735,9.632582686,8.542265384,2.159995147,1.024466251,0.651504499,3.817467026,6.117371512,3.49123743,1.568678858,1.684488836,5.266664678,1.722090889,3.426251357,0.992993982,4.109093792,1.7940383,1.140830351,2.135309715,4.071223664,2.879023273,1.413492415,4.163901454,1.719891899,5.565813513,2.974068264,2.932710092,7.271386767,4.373356224,7.453160779,2.96621859,6.047745344
Nonadecanoic acid,6.395652533,2.90725149,2.048666021,3.815842326,2.891401096,2.076487221,1.207245886,1.45530008,2.006650049,4.342634909,1.239060644,1.291196177,1.662127306,1.840709106,2.308487697,1.013968204,0.670750985,1.112995728,3.047643697,55.62483283,1.961526539,1.904011267,2.096986896,4.293026282,2.565648776,2.401917749,3.790042682,3.565669494,1.302839622,2.167037163,2.938155513,2.518274546,2.134932817,3.756706231
Normetanephrine,0.037249382,0.054330796,0.164995476,0.043076087,0.065505981,0.098566253,0.108519694,0.047496853,0.080621525,0.044422096,0.0415223,0.040353826,0.110920133,0.133560797,0.023325683,0.089875431,0.038077878,0.051178109,0.048652369,0.018781059,0.049164767,0.027202295,0.022524778,0.189862631,0.063426965,0.234862122,0.086965596,0.031042177,0.277966763,0.034637374,0.055444709,0.070169002,0.090564321,0.089724615
Norvaline,14.2213147,88.40992554,34.842229,6.941880283,9.622318214,50.17284661,90.47253728,39.69404265,41.81138294,19.40989625,18.49486863,45.76159013,33.65099932,8.425603911,60.93898832,77.94990814,89.29337704,109.28701,5.641086263,67.13341893,3.576527566,75.70995493,5.674522979,63.19626555,43.62863012,80.12408239,36.69994416,3.237631897,131.4559178,7.316600345,181.7707185,24.99831613,105.9556522,90.54112128
O-Acetylserine,0.07034505,0.068596297,0.146531961,0.081330749,0.077532452,0.144938081,0.047575868,0.086668222,0.085107235,0.038976723,0.047397501,0.026762666,0.104119587,0.071504422,0.05545322,0.053947438,0.123871977,0.052889035,0.048015733,0.053661884,0.04095337,0.051416532,0.080378256,0.071411722,0.09114182,0.169030358,0.104263531,0.057791004,0.118228912,0.139314961,0.038051945,0.092083784,0.065350804,0.146725673
O-Succinyl-Homoserine,0.10154644,0.596857869,0.771002245,0.130022295,0.213453201,2.3662597,0.223298119,0.291958619,0.299241292,0.117288395,0.202426618,0.335527649,0.244178461,0.237447837,0.296589722,0.184252687,0.457236153,0.90723538,0.16515835,0.973400867,0.090807456,0.401120036,0.073477241,1.813908487,0.349551047,0.445862721,0.450001044,0.147222021,1.807947667,0.145800441,0.261546238,0.454489094,0.542776236,0.137979178
Octanoic acid,18.39210161,84.15315135,11.37541606,116.6698446,69.9617885,26.88396703,24.72671972,32.0807487,82.69362403,87.64814941,14.98500845,12.98260116,34.24136773,138.2482374,11.94105969,58.59148725,5.57899897,28.61162065,85.13938607,4.524467864,53.7297517,36.2232974,26.08255566,60.06735858,55.41093719,49.71758679,60.34780241,214.3128283,15.86397717,59.82668401,85.56004524,110.5393439,46.48544543,97.80377806
Oleic acid,1925.367456,1139.505707,994.4901009,1103.747091,438.7603593,1442.987655,2187.790447,272.8568651,1006.57033,1137.888256,1304.609897,973.6863886,1281.099448,2043.669596,1426.956435,665.9296788,220.526091,583.9584871,892.8130215,936.0316697,1618.780981,518.8742601,1811.015185,418.2049598,331.917,2251.105172,1281.855815,2028.609978,297.0256755,367.5067732,901.7531739,313.0603317,932.3058609,813.4175601
Oleoyl-Glycerol,4.583416489,2.219019056,7.70817339,0.547604378,1.846196055,11.63524447,0.439434506,0.83233471,2.996091069,1.580407597,1.755225021,6.2858777,1.504193919,2.322962046,10.45360582,3.296631874,0.904202144,3.80810745,1.121609278,43.60475401,9.62983231,6.272302119,7.639233868,3.672347823,2.201063473,3.577894694,5.38251097,2.257166371,2.367784374,0.860411589,1.735087604,2.080755686,1.48085666,1.429644143
Omega-Hydroxydodecanoate,1.999483316,6.674763498,2.00811015,3.884451895,2.73995601,4.31770088,2.232954811,1.43513908,2.794764509,2.106119565,3.45685395,1.32202269,1.984522415,1.990106091,0.736820556,4.671952608,1.361334632,3.343516588,1.884360791,1.560448715,1.715913802,5.035418178,1.90482462,5.598375451,3.634179257,5.756015902,4.247426074,3.034319486,4.048121491,3.181409903,3.387040249,3.847125892,4.802018542,4.128208871
Ophthalmate,0.167150691,0.292157538,0.318737165,0.212739194,0.232966077,0.623352578,0.382646304,0.80715355,0.857657465,0.10106049,0.159944551,0.081016539,0.207566047,0.076980394,0.251737319,0.247246482,0.299202181,0.416750441,0.216929466,0.473814158,0.048522376,0.127940487,0.037679027,0.774877857,0.319450061,1.073177189,0.177140294,0.109924318,0.671293992,0.079909406,0.065955409,0.283568643,0.286708637,0.684797439
Ornithine,0.40299293,5.64278894,3.155103163,0.37726356,0.343491507,4.566156958,0.965604408,1.753079371,2.015813946,0.251160839,1.090531258,2.441155217,2.507819109,0.658501092,2.420138344,5.625558857,2.200804415,1.349483287,0.282262383,2.639130347,0.085467663,0.163056888,0.068829768,6.691205007,8.096966363,1.744041574,1.007349295,0.080381173,11.8871884,2.096551916,1.107440021,5.289873358,3.379999771,2.833399474
Orotate,1.407766917,40.60307691,7.254282041,0.03240319,1.446739573,12.18074007,3.098609304,19.94852987,5.903681294,0.431202797,4.853471353,0.556290725,16.82663623,3.280425961,0.537574184,2.518429366,0,2.840297637,0.716432163,9.101755116,0.14315104,58.08781025,1.110843532,15.35106023,0.143066097,0.969273351,7.735814456,0.048557413,0,0.322023692,4.386067383,0.91480631,5.835716322,7.363280824
Oxalate,3.36469483,4.021902839,2.031871768,8.978846865,9.242957837,2.888855181,1.107719388,2.136585724,2.707662984,2.519258385,0.973286044,0.88187653,4.525367411,4.777535879,0.545738572,1.397722814,1.159723704,9.328546694,2.678227306,8.437597708,1.496783313,2.807094789,6.741417479,11.50553568,6.200759034,12.40353519,12.9642501,3.373040436,0.711335971,3.265798987,1.941478752,7.917167224,2.332472037,4.895740691
Oxoadipate,0.049942009,0.071550865,0.087707279,0.092359295,0.099416675,0.14586918,0.051377252,0.089090539,0.079828379,0.080430299,0.088250646,0.048202072,0.071648777,0.104290024,0.056922328,0.082646527,0.07573152,0.101718305,0.061758744,0.084543876,0.045771379,0.082811091,0.038490158,0.293359151,0.130255068,0.210844006,0.183887207,0.063668001,0.235882173,0.070244813,0.045649316,0.117172994,0.084326923,0.090740622
Oxoglutarate,0.036686286,0.042200349,0.053601404,0.058304875,0.098778393,0.148894633,0.059390738,0.082091237,0.058051336,0.032417339,0.028125934,0.037737523,0.037722305,0.08332511,0.042470607,0.038003896,0.045469339,0.080511158,0.037960628,0.04120186,0.019949185,0.077807504,0.023154763,0.689040965,0.097700645,0.141031518,0.097145415,0.038643518,0.268467544,0.087157584,0.028471352,0.070022479,0.094101905,0.06210748
Oxoproline,0.714581161,0.605713991,0.791519445,0.112045907,0.181191104,1.181110748,1.071293313,0.261417377,0.222324001,0.099322049,0.318242389,0.146316683,0.394330426,0.117681527,0.09336514,0.379629095,64.09039521,1.387204279,0.114473334,1.839407289,0.052607674,0.229012403,0.058928784,0.478038387,0.269885767,1.571789884,0.178418545,0.059935919,7.144618996,0.128930742,0.071951999,0.532841538,0.21834078,0.206732309
Oxypurinol,0,0.059631942,0,0,0,0,0.046624203,0,0,0,0,0,5.061264854,0,0.032595868,0.085280852,0,0,0,0,4.253951063,0,0,0,0,0,0,0,0,0,0.04068415,6.466231113,0.034064863,0
P-Octopamine,0.068992124,0.069205272,0.319693243,0.069167083,0.087056069,0.145002236,0.057320771,0.112274436,0.059741685,0.068458032,0.046946076,0.043392261,0.052327833,0.068730391,0.033058139,0.057742693,0.033024743,0.055812901,0.083904943,0.022748118,0.045701511,0.069655584,0.041630124,0.14509868,0.086471818,0.14953159,0.116606566,0.051586771,0.101771676,0.058280739,0.066679835,0.109594766,0.080144005,0.09859664
Palmitic acid,3976.575923,1260.660049,912.5909161,4133.805644,1359.257605,1069.801192,1620.280895,1078.858238,1567.152575,2218.113255,820.0405069,1364.497049,1050.855768,2131.827892,870.5569761,1726.771144,58.87259037,1937.147431,2457.536874,594.610282,1243.361562,1484.828858,1104.817688,1731.629912,855.8520992,1166.43222,2422.111278,1292.420873,173.8041329,1435.840416,1917.113047,2267.266835,2300.899701,1549.366781
Palmitoleic acid,177.0163544,54.355732,73.32841728,24.4937815,25.32173357,312.6473252,37.28565173,19.80480919,32.82967846,36.56872174,69.65684988,53.94523216,28.53583124,66.11872221,43.90635184,174.4839003,29.92854093,36.585351,21.55784302,26.59762122,33.81535239,35.57062538,57.57847192,38.95506143,27.38681254,105.7419863,63.13710861,34.68268672,84.10826058,34.75645452,184.2558651,21.59179168,52.45843563,115.2341544
Palmitoyl-carnitine,0.378637039,0.038230699,0.784845249,0.028099227,0.034939687,0.59766782,0.034464013,0,0.067554242,0.029145392,0.039513482,0.119300425,0.034404748,0.035242855,0.489144849,0.039297775,0.076561121,0.022602942,0.034230049,1.027836191,0.056268996,0.053234868,0.129789082,0.068510036,0.096818249,0.116918502,0.056856918,0.052064706,0.075542452,0.056700653,0.267123383,0.042118304,1.015407473,0.036921613
Paraxanthine,0.042905318,0.089385262,0.121924463,0.183545488,0.186464545,0.02884725,0.059569419,0,0.143360454,0.053801419,0.159698582,0.043931223,0.224571065,0.144487488,0,1.233690404,0.024471653,0.021137842,0.042790758,0.022943909,0.04695026,0.056743177,0.037612235,0.277241554,0.137565525,0.262302427,0.074784869,0.021143692,0.488736026,0.056763439,0.058481333,0.070077787,0.10717071,0.150509113
Pentadecanoic acid,192.9562157,366.7374689,64.27626059,251.80542,90.45059799,280.71915,457.8458705,21.70006062,1096.387375,161.4571173,101.107267,223.7975576,144.6402602,172.3093973,361.4703966,449.1153648,74.62445402,18.92534869,307.4222157,16.62351326,121.9252058,50.25574595,169.7826736,84.13107589,74.61274711,215.8444668,189.2973122,79.83561849,112.9285736,248.4231831,223.3081679,49.203647,371.364173,322.4619613
Pentanoate,7.62745128,451.8729528,13.94094893,195.5688762,28.38243889,136.005733,32.89910447,1.539123679,223.3037563,138.0073932,77.34472963,88.18291821,198.0686013,301.3410855,106.1701008,423.3041369,24.41538865,26.03188437,152.3304691,143.2179604,137.4241726,10.84564234,115.1569438,85.76468902,56.50818348,115.0080366,93.90339107,86.05232649,174.9804722,44.15779058,110.4115107,62.0685811,102.319919,136.0537705
Phenylacetaldehyde,0.025497558,0.079933781,0.085221804,0.027839619,0,0.261365928,0.054729049,0.126599205,0.056397644,0.065826104,0.056666152,0.086275016,0.034560781,0.03372878,0.423053539,0.139058839,0.005570367,0.355182073,0.032114837,0.051946722,0.17098334,0.221407796,0.009874989,0.21116641,0.218545062,0.154356425,0.084281708,0.015602517,0.404952787,0.127979164,0.107252729,0.485929472,0.066144372,0.393660617
Phenylalanine,16.46111106,82.5159305,29.41478192,1.677757349,7.232929183,47.27028524,88.00510444,95.31660163,45.21823636,13.23670009,21.8680928,114.0699491,65.82607762,5.399170985,105.4130947,107.8909325,133.890841,213.649069,3.548855901,147.0541558,1.146983854,86.47904335,2.854269208,63.57682737,102.5925273,74.12840275,40.81648339,0.533268976,121.1629488,7.121144833,128.5175783,75.10317407,173.7361061,144.7689586
Phenylethanolamine,0.056251566,0.058844646,0.189599474,0.111333159,0.09082935,0.22008264,0.07688544,0.07997735,0.047763923,0.085844412,0.039539516,0.024509025,0.058706413,0.058476763,0.032739927,0.09946793,0.020438053,0.041083314,0.06576459,0.03704469,0.04918238,0.078426533,0.043378452,0.538260804,0.088963877,0.277375865,0.445829035,0.065213711,0.066016287,0.052838926,0.193774442,0.153003779,0.042850575,0.123940455
Phenylpyruvate,5.328955656,2.424189866,0.718322566,9.920398728,13.06302036,3.293609822,4.097253897,10.22813861,4.576612235,4.191767898,1.221316696,1.247607554,2.665335347,3.71469479,2.081331445,4.266121914,0.369288826,2.920868915,3.274526722,2.686695535,3.437961104,4.519449979,5.087579965,23.18872178,15.21928437,3.640475807,10.89412283,14.86148422,1.577171196,4.494538446,1.424113088,10.71513285,5.396236901,7.547665808
Phylloquinone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158393104,0,0.034942032,0,0,0,0,0,0,0.121311233,0,0,0,0,0,0,0,0,0,0
Picolinate,0.075076739,0.135866283,0.232107899,0.070198989,0.116422633,0.600317367,0.066529227,0.084925833,0.100463376,0.082576949,0.072561272,0.110191031,0.086521993,0.092608911,0.071912825,0.102479388,0.066650456,0.10007803,0.073631539,0.098951673,0.07258113,0.069418801,0.043340351,0.849892116,0.167813763,0.431183633,0.337624401,0.058568425,0.70846785,0.066964336,0.061288537,0.166779802,0.084851498,0.127156784
Pipecolate,9.043292403,13.49854559,14.1774067,8.390487058,3.024424693,20.4837865,1.848723711,0.675196051,34.99767609,5.077798654,10.85827211,2.94031893,11.31791465,15.80633941,1.414010636,4.988426861,1.236388101,0.912683429,5.486144352,1.632183662,1.94792206,1.70833569,2.579019976,21.2839882,4.905918145,3.735996794,4.690635512,2.968607301,32.34933099,3.968577347,2.189192839,1.710400195,2.26844415,7.537807158
Pregnenolone Sulfate,0.171499072,0.484359509,1.067007956,0,0.636283626,0.653325391,0,0.844326309,0.360689195,0,1.161604413,0.652787513,0,0,0.551486787,0.785915911,1.004094122,2.64943934,0,0,0.63644522,0,0,0.945507533,0.638526095,1.098153277,1.571338238,0,1.345346704,0,0.580831328,0,1.873826857,2.43291112
Proline,33.66833568,134.5795533,63.48137234,21.08644236,52.47134138,75.88124735,146.6751741,72.7967452,96.63075168,12.78733479,41.93388956,29.56131917,62.28386717,33.90776292,98.03228557,80.53103093,168.3480427,35.88178656,22.1584182,67.64491165,3.306040855,19.73764619,13.91586824,155.1932468,11.73731386,171.1494005,46.99367721,8.600945339,136.7494446,26.8745055,23.15986856,200.9072747,149.5844501,152.9999696
Propionyl-carnitine,0.092669637,0.309636072,0.165357715,0.284081774,0.210097402,0.500104801,0.193354597,0.335769332,0.502004029,0.191243687,0.139916613,0.211217906,0.271497387,0.274857291,1.001004373,0.102033489,4.389415682,0.285795838,0.78331559,0.095891098,0.057859127,3.851260275,0.06092183,0.250090871,0.381258052,0.259112128,0.022777616,0.055449123,0.26523448,0.114002562,0.821351363,3.006459012,0.127274068,0.240548199
Protoporphyrin,0.88889885,0.316501822,0.540142714,2.569457037,12.11205392,0.632149057,0.674325249,0,1.071856547,2.626763434,0.812256276,0,1.929781206,2.159217156,0,0.253633324,0,0.368130905,0.457014164,0,0.941034119,0.56702509,0.670688569,0.874075905,1.72616361,1.267077035,2.046823488,0.864065507,0.819305932,0,0.953092377,1.477935422,0.489399067,1.455601131
Pterin,0.140850547,0.148562788,0.314719792,0.052774464,0.113732099,0.528345703,0.113854024,0.033759613,0.231683554,0.060579954,0.234090443,0.088952894,0.248628007,0.121388317,0.041953906,0.344943889,0.073009054,0.100898913,0.063047371,0.088838908,0.071057379,0.070359398,0.036019859,0.282228209,0.229624061,0.203740263,0.168346093,0.079531374,0.120496044,0.16002788,0.105767464,0.130079499,0.217668579,0.150523723
Purine,0.150024063,0.072450652,0.118883201,0.18659094,0.350946547,0,0.060437485,0.133035069,0.076734218,0.183815285,0.038970462,0.045412639,0.138815557,0.209448339,0.025593224,0.045928263,0,0.037616284,0.162361975,0.028539941,0.154850258,0.143098357,0.08233392,0,0.15671589,0.117718449,0.171441256,0.182725564,0,0.108245154,0.106098234,0.288046704,0.091606303,0.272783525
Pyridoxal,0.743905605,1.200239153,0.598857857,1.769936861,1.695185006,0.552150005,0.650369782,1.001084967,0.933967962,0.5850851,1.234252362,0.665595776,1.387869425,1.021381775,0.626648627,0.790423202,0.150277411,0.638241274,0.686892326,1.030644039,0.433421483,0.934339159,0.455029246,0.839104786,0.535512578,1.051607941,0.713703927,0.354022045,1.01373481,1.179121627,0.677279428,0.873821377,0.707023705,1.480742508
Pyridoxine,0.462425352,0.377289913,0.703070372,0.443901019,0.86285491,0.544506964,0.352943676,0.541665092,0.357711568,0.188482503,0.692568269,0.237999108,0.496654288,0.501116662,0.667172227,0.389648006,0.508129659,0.271060699,0.337961117,0.188978345,0.195201523,0.198887546,0.554021221,0.728688306,0.429693137,0.570036362,0.307005819,0.298945218,1.027244337,3.933406817,0.53480414,0.473938637,0.274411994,0.661724039
Pyrocatechol,0.020527677,0.034449418,0.132516805,0.029089966,0.035487199,0.124050455,0.021710554,0.03627237,0.044270146,0.019504783,0.038958234,0.04057346,0.048666921,0.064852279,0.029278525,0.055273756,0.081818218,0.038744507,0.022283314,0.045058525,0.015483205,0.080690395,0.01181161,0.1228843,0.048965257,0.071879152,0.074662974,0.014198535,0.362604118,0.037925654,0.073062554,0.045330729,0.052901316,0.026732598
Pyruvate,0.277503937,0.633978217,0.895356467,0.668640084,1.655208264,1.193872343,0.553361697,1.580231311,0.486747404,1.081621135,0.384062948,0.32222462,0.485509112,1.907273439,0.375088111,2.387923278,1.375356065,1.93211608,0.549764172,0.82707634,0.338250311,2.184923627,0.409906179,4.877374824,1.903894474,0.948806235,1.86982248,0.508147619,4.435776726,0.270463439,0.377986492,1.827079773,0.82168375,1.453214365
Quinate,0.576781384,6.43390153,1.296065975,0.543760946,1.103460317,1.123713238,2.369029914,1.452084879,1.161833753,0.546158096,5.472791698,95.69850783,18.37235426,0.728768477,1.858228784,1.345868749,1.571813442,6.299905409,0.106838454,12.68048815,18.41494852,222.5611606,23.19684081,1.451275212,70.77238513,11.88284741,39.71598786,0.0522819,11.93070496,103.6995856,53.96318206,60.43578896,68.55953963,0.38895723
Quinolinate,0.033954852,0.053551754,0.137839608,0.011572295,0.032962605,0.105888241,0.025657503,0.019218346,0.03573911,0.021699353,0.05711227,0.019008161,0.03298833,0.015506084,0.009224881,0.075178391,0.036810845,0.052338029,0.018622757,0.043389865,0.010204559,0.031076217,0.012904753,0.126256391,0.043764017,0.09429628,0.09503481,0.011173866,0.153379601,0.073708956,0.033095631,0.055572781,0.04974313,0.026168561
Quinoline,0.045114184,0.311170244,0.14253582,0.092806433,0.320423081,0,0.528020393,0,0.253958342,0.058513462,0,0,0,0.057841677,0,0,0.015639858,0,0,0,0.036193501,0,0,0.098341826,0,0.565141725,0,0.065639544,0,0,0,0,0,0.262002998
Raffinose,0.296696052,0.311523026,1.093025197,0.121677632,0.378423771,0.551996865,0.2073983,6.678604741,0.321609149,0.455182995,0.35613,0.775406387,0.256101802,0.096575041,0.508174559,4.17161551,2.969440225,11.86776977,0.104520784,1.438102759,0.058652854,5.528866294,0.331638357,1.079757855,0.956854632,0.933898213,0.324446839,0.062438746,3.807830473,0.315088794,1.241833685,1.107643083,1.994018717,0.206350625
Rhamnose,0.158284854,0.239243846,1.020068241,0.148262377,0.245447259,4.886192869,0.111241334,0.997119199,1.277544798,0.21414314,0.619960997,1.435153932,0.289417147,0.187452279,0.456738031,0.222323217,0.92515412,1.015409496,0.120695636,2.124920245,0.409345496,2.696722687,0.087253807,3.174419982,1.40049231,0.341182372,0.69775153,0.085916677,6.778591448,0.389296882,0.166510526,0.934806344,1.046394756,0.264662362
Riboflavin,0.940299148,3.317551751,0.830725032,0.574235517,0.61528971,3.013821066,4.253620355,0.222629082,1.766788257,0.207232569,0.834506333,0.355000466,3.169685376,0.717795447,0.545232363,2.21128127,1.108394446,0.431695902,0.174269141,1.086259912,0.123487923,0.555611839,0.266148092,1.112285008,0.469821366,2.74897239,1.647389589,0.114667823,4.408745784,10.51390434,0.806730159,0.150701305,2.152474302,5.781579935
Ribose,0.160388531,0.700993842,0.704404689,0.101021567,0.191524431,0.755601023,0.242858436,0.39762399,0.138122589,0.109761159,0.18941258,0.158909585,0.165377479,0.214472029,0.229662485,0.906975855,1.404233525,1.154541093,0.075666675,0.60955922,0.084833282,0.367753842,0.052968913,2.2310356,0.511902012,0.634461182,0.384521314,0.203461684,1.91606243,0.153081526,0.196668106,0.369583727,0.507530809,0.337920103
Ribose phosphate,0.06510106,0.023297157,0.3484467,0.11044567,0.083289728,0.032731054,0.00431281,0,0.015614871,0.103919094,0.019520407,0.006657833,0.04062824,0.065934035,0.044021377,0.010133074,0.035044658,0.014392294,0.078725288,0.031688997,0.010914122,0.006928114,0.053768279,0.061691176,0.097802801,0,0.021948515,0.077435886,0.009430717,0.007823461,0,0.014116777,0.006696147,0.013382483
Ricinoleic acid,161.0764931,129.0130025,64.91272265,141.0110352,116.4364051,77.95450548,202.8778109,17.64775502,359.2681793,152.2309963,173.3267435,154.8211462,91.80228762,355.8389414,43.5278488,94.98531853,43.90831991,349.4370064,146.8079144,262.1400168,173.93285,81.91033917,305.1166888,140.4907287,111.9191207,106.2870481,234.7584777,281.7150308,93.22489022,173.4973836,172.8951952,310.6397621,162.0498209,101.677195
Rosmarinate,0,0.065088704,0,0.130271041,0.028621006,0.070681339,0.061066314,0,0.06650221,0.039356733,0.044890549,0.128350334,0.032218625,0.055489165,0.026391622,0,0.025091907,129.4558574,0.025858684,0,0.022051686,0.085922792,0.015887873,0,0.064961339,0.101178062,0.072620811,0.014353112,0.210262722,12.47297223,0.042737094,0,0.062826996,0
S-Adenosyl-L-Homocysteine,0.013235837,0.006677427,0,0.010121583,0.011812097,0.039573139,0.018455405,0.039811078,0.030611539,0.006268279,0.011204993,0.0635031,0.025701711,0.01709747,0.030548264,0.012749689,0.080689171,0.057652695,0.004813569,0.005308286,0.045040241,0.017778785,0.003325702,0.023012148,0.270915031,0.024245249,0.023784467,0.005437324,0.124172209,0.081871755,0.005943747,0.017519261,0.035978795,0.023875779
S-Adenosyl-L-methionine,0,0.006371534,1.824780642,0.063809781,0.19520158,0.155666476,0.005323483,0,0.010545417,0.332989166,0.313714911,0.06825067,0.202500163,0,0.635674724,0.01852391,0.049422889,0.285434743,0.06062359,0.404081418,0.031144328,0.255192501,0.122726434,0.138902315,2.174006188,0.018037627,0.13376962,0.031803944,0.682116376,0.128960969,0.28239125,0.087402051,0.376275123,0.005588436
S-Hexyl-Glutathione,0.038410602,0.056773654,0.161635983,0.042291592,0.065965416,0.185035722,0.07051709,0.136470341,0.046355463,0.013985261,0.29746779,0.115363729,0.083695941,0,0.154366564,0.174916514,0.621803464,0.162967075,0.032717342,0.40726719,0,0.037454049,0.01926626,0.29568454,0.138880327,0.323050054,0.166880632,0.00886083,0.794695879,0.056737365,0.049601121,0,0.215790099,0.181813322
