Feature	SampleID_25	SampleID_26	SampleID_27	SampleID_28	SampleID_29	SampleID_31	SampleID_32	SampleID_37	SampleID_38	SampleID_39	SampleID_40	SampleID_44	SampleID_47	SampleID_48	SampleID_49	SampleID_50	SampleID_52	SampleID_53	SampleID_54	SampleID_55	SampleID_56	SampleID_58	SampleID_59	SampleID_60	SampleID_61	SampleID_62	SampleID_64	SampleID_65	SampleID_66	SampleID_68	SampleID_69	SampleID_70	SampleID_75	SampleID_78	SampleID_79	SampleID_81	SampleID_82	SampleID_83	SampleID_2	SampleID_3	SampleID_4	SampleID_86	SampleID_87	SampleID_88	SampleID_89	SampleID_90	SampleID_91	SampleID_92	SampleID_93	SampleID_94	SampleID_95	SampleID_96	SampleID_97	SampleID_100	SampleID_5	SampleID_6	SampleID_7	SampleID_8	SampleID_103	SampleID_104	SampleID_105	SampleID_107	SampleID_108	SampleID_110	SampleID_111	SampleID_112	SampleID_113	SampleID_9	SampleID_10	SampleID_11	SampleID_17	SampleID_19	SampleID_20
N-Formyl-L-Methionine	0.007577451	0.006092716	0.036688798	0.008974134	0.006756595	0.006237159	0.0	0.0425051	0.016943725	0.016299365	0.02139979	0.001397418	0.080035455	0.0	0.002847906	0.005077181	0.005767505	0.003119651	0.0020108219999999	0.041336755	0.003850379	0.002087406	0.027934428	0.0	0.0	0.0	0.002938512	0.002883092	0.003182803	0.004218265	0.001275464	0.002006433	0.043352035	0.01168972	0.007197353	0.017280141	0.00633267	0.012824794	0.002864034	0.003064642	0.012434072	0.014397517	0.019944548	0.01459037	0.0	0.001790009	0.008961721	0.004695337	0.029904677	0.001449207	0.000161	0.006239769	0.008979245	0.0	0.015465391	0.002380926	0.001540795	0.006581069	0.018592484	0.004237499	0.004672518	0.000806	0.009306387	0.005769658	0.0	0.023576747	0.035895503	0.007752206	0.005714993	0.001000486	0.01317568	0.001001303	0.020531352
Oleic acid	2.581311975	4.15867883	4.174822967	2.97716447	2.851760436	1.642862129	0.822900516	1.795135074	3.619844598	7.291442307	0.557128657	4.272409574	5.657911933	3.164078118	3.804557046	2.349657769	4.806131357	1.829272039	16.2785277	4.275607273	5.807041923	32.30149968	10.10550295	5.217371405	2.550254422	2.05000448	1.341540057	1.590842036	0.20652663	3.648066791	1.272208721	3.472034323	9.072476566	1.031710863	1.426289806	1.184797926	1.74826338	1.336955307	19.29534038	12.91894619	4.420028486	1.092121189	1.382411748	3.227494124	9.318100347	5.205858424	12.54187763	3.800142061	7.394334341	4.303539456	4.07946202	5.668063615	7.993678879	3.679528042	2.416468506	2.223643309	15.81991931	3.457229945	2.593955603	5.226914279	0.777856504	0.896135011	0.961643777	2.378301938	8.924294899	10.12507896	16.71335789	18.65406823	3.201641043	1.468163486	0.71833245	3.986097847	2.165712583
Oxoglutarate	0.03449517	0.055695005	0.060270696	0.00986296	0.046599529	0.05439934	0.044533818	0.050129956	0.00599521	0.016652224	0.019655685	0.035007473	0.258328434	0.092292001	0.171718178	0.046895176	0.220427888	0.086641527	0.026407548	0.055747213	0.013132169	0.099880052	0.11717671	0.103606373	0.046768202	0.002958031	0.005466672	0.006502954	0.006441396	0.24365736	0.024317029	0.04771821	0.530817062	0.037061048	0.097665772	0.018225364	0.011518668	0.009310522	0.080640106	0.013732698	0.025831976	0.02378281	0.105284109	0.021171266	0.087221049	0.068620483	0.070726	0.046821058	0.071491432	0.049686494	0.015042433	0.020563326	0.021859815	0.009637232	0.017670085	0.045049439	0.093039162	0.167852836	0.173419795	0.248012751	0.084384298	0.025740698	0.025727575	0.153565471	0.141580693	0.111708076	0.082575254	0.085008614	0.088095683	0.055000525	0.053822362	0.146568932	0.03398589
Palmitic acid	17.66160825	13.52013032	9.82866613	5.824887006	6.393827962	8.916768912	6.860498146	5.426767782	15.13499572	10.11979537	6.640727109	8.85408204	10.49941376	6.460683069	8.098708565	10.60852948	7.509580246	9.388160523	6.96333621	11.99801179	26.71239284	17.60985185	18.71389435	12.49285163	13.88752408	7.366742717	11.32787828	4.078140091	0.739165312	12.42938171	15.02417918	7.015411816	9.820068909	6.572132184	7.978832974	3.986030196	15.68954316	10.84238145	10.09022387	7.055732151	11.67775029	6.416983257	5.698491175	16.03846773	8.535066705	13.07032369	7.775964132999999	11.57403673	17.36651001	10.22090621	19.93084355	9.782444817	14.03674712	10.88378197	7.863111804	9.766590221	7.382629012	8.873062262	10.15879824	16.29898001	19.80486549	4.085450959	5.698686555	14.03355647	8.672906311	13.50010528	6.922492151	9.432872802	12.46954933	12.13791719	10.18407759	11.79220613	10.78000434
Palmitoleic acid	0.066710812	0.177308503	0.268927272	0.21199697	0.132152955	0.156257339	0.115852057	0.07879301	0.340305123	0.293852454	0.061304613	0.461217612	0.091922179	0.134318426	0.289387691	0.217272281	0.227488681	0.138437773	0.128327209	0.313736581	0.247117119	1.438976465	0.257812682	0.101990222	0.125320192	0.087610246	0.079327338	0.085412279	0.031317047	0.099180853	0.073654954	0.158643561	0.163190397	0.123582045	0.066370242	0.106475426	0.220479648	0.066744052	0.108811454	0.097696257	0.132645631	0.065016044	0.115465037	0.188042393	0.173357648	0.418264787	0.642063107	0.255315979	0.548770302	0.186269993	0.277659488	1.812629481	0.470441389	0.144217936	0.113139117	0.272339572	0.329064661	0.253905521	0.152538683	0.397114986	0.046319961	0.066570689	0.066366281	0.138757906	0.131098027	0.114970181	0.333437656	0.405830176	0.167309688	0.082852075	0.084538431	0.304431686	0.073868324
Pentadecanoic acid	0.433590214	0.630235892	0.673531442	0.665701372	0.276422959	0.346217554	0.315347511	0.180561011	1.115944385	0.383420058	0.215766587	0.994909655	2.75301084	0.500496839	0.601597097	2.016497339	0.562532248	0.477742636	0.218054801	0.492180601	0.894284456	0.680682762	2.629302156	1.027608185	0.382100176	0.299407304	0.143201214	0.108114592	0.032507975	1.404935475	1.055565631	0.534544151	1.330460949	0.234862208	0.273048644	0.263468124	0.566604291	0.234161175	0.582765666	0.479624789	0.595565265	0.319491003	0.220328765	0.457407815	0.271260835	1.335294386	1.348251846	2.237647102	1.207515149	0.865572405	0.894767657	0.653018746	0.676976632	0.34107095	0.424209445	1.578350741	0.975561691	2.552118242	0.939083777	2.294971323	0.742524952	0.205686513	0.269466726	1.543951439	1.061815575	2.516595713	1.614871742	1.31451011	1.092195058	0.816725383	0.66761588	0.747665145	0.400721124
Pentanoate	0.979598316	0.702058583	1.332167128	1.645761725	2.070921269	0.769094053	0.419240982	0.477853953	3.410605026	2.361285587	1.420271116	2.35956132	2.221394954	1.284890878	1.478983302	2.209379693	1.004935211	0.637102725	0.309492586	1.188415438	1.033653462	0.4868709	0.409796572	0.371978733	0.647407577	0.624119594	0.475832286	0.041303207	0.020316334	1.270689223	2.604998809	3.632556457	1.066835781	0.223497197	0.231666807	0.224610687	1.277606173	0.249043614	1.124086343	1.571955691	1.021803151	0.216404097	0.117314232	0.311027519	0.284330464	3.493771295	3.114566279	1.630010173	0.976866188	0.904851667	0.483428971	1.227600918	1.659931403	0.893959515	0.914166657	0.736969049	0.790995966	2.121819236	2.335593491	2.004587197	1.224227075	0.581568613	0.371007308	1.514715334	2.623868395	1.049192965	2.100462545	1.680189125	1.093782275	0.815063336	0.807795632	0.877131666	0.330354476
Pipecolate	0.420171314	0.215883371	0.759254106	1.160354475	0.967476976	0.15579404	0.337606766	0.3128554	1.959877326	0.83811116	0.13353907	0.139301254	0.072430257	0.5134763	0.891887123	0.882877265	0.209578571	0.405218773	0.113829268	0.269918068	0.216527133	0.640631462	1.581324072	0.4691118	0.170158093	0.654867765	0.012316323	0.024478063	0.025507934	0.07239602	1.172997149	0.850172788	3.193106277	0.094852167	0.028777374	0.067100629	0.106663393	0.059490173	0.722422179	0.448835363	0.5700096	0.03096592	0.093671524	0.071329314	0.113272199	0.912102643	1.724508175	1.167048704	1.221082735	0.878048978	0.313848753	0.49737816	0.631079911	0.295294208	0.628338529	0.766597779	0.823954131	1.268268512	0.857531385	1.545592932	0.386981462	0.230132119	0.200872103	0.080040821	0.200554831	1.496750803	1.784263882	1.653729453	0.896749682	0.892366216	0.200187356	0.851114413	0.158689361
Quinolinate	0.001839747	0.002518216	0.002963283	0.001144359	0.002924335	0.002959303	0.003215787	0.00111927	0.004047528	0.002125833	0.001948419	0.005470906	0.003846366	0.002260623	0.00294642	0.006206788	0.003882226	0.003176219	0.00133383	0.0015343	0.001093345	0.002348048	0.001823229	0.003103743	0.002324625	0.001819362	0.00042	0.000434	0.000314	0.008159002	0.007724408	0.002604813	0.005491832	0.000694	0.00059	0.000763	0.002174423	0.001508917	0.003053251	0.001930299	0.001802448	0.000773	0.000938	0.001499407	0.001715841	0.004870366	0.006559695	0.003662849	0.002314163	0.00320179	0.001138979	0.001886759	0.001415562	0.00217401	0.001337599	0.00301387	0.002870863	0.004914421	0.003123873	0.006612378	0.004117004	0.002044827	0.00179315	0.007104367	0.00493771	0.004938375	0.004088599	0.00399477	0.005656838	0.00519395	0.002806629	0.00420103	0.002698522
Raffinose	0.003776793	0.010035497	0.0046368	0.002739512	0.005999596	0.018513154	0.007748011	0.015930239	0.01065177	0.00854784	0.031848767	0.005654028	0.002583448	0.004379177	0.008509614	0.004781706	0.010811296	0.003916919	0.001023215	0.001618311	0.007377758	0.001008021	0.008602803	0.003854448	0.004586322	0.006880698	0.006570072	0.121306276	0.086842075	0.00249259	0.003368375	0.002978195	0.004023002	0.005825789	0.012385421	0.00984652	0.002775347	0.008524319	0.00149421	0.001462675	0.008417045	0.005752887	0.373941034	0.014791417	0.00879721	0.002931813	0.003358336	0.002834629	0.0	0.003044662	0.002092528	0.003867217	0.005537551	0.005948608	0.002041586	0.004671695	0.00185526	0.001896889	0.007839465	0.003036722	0.003041992	0.005114906	0.024921795	0.002208285	0.003580224	0.001048014	0.001384165	0.003412553	0.002326071	0.003357725	0.004826335	0.00254045	0.012370797
Stachydrine	0.172055306	0.09241537	0.174311951	1.345271523	0.132641939	0.476394179	1.160046964	0.10109252	0.781161069	0.227001224	0.184533609	0.823554455	0.208845267	0.276074329	0.775686152	1.249118105	3.522675824	0.877088582	0.276599355	5.433310165	0.549379205	0.096064983	0.180820511	0.176238044	0.142398595	0.21585661	0.039919412	0.079387923	0.042574321	0.158850187	0.407981668	0.207937494	0.67047936	0.951317808	0.085995943	0.180243944	0.150177272	0.124727671	0.440068762	0.463098615	1.267035907	0.116629435	0.164384323	0.156896249	0.908319025	0.122843121	0.444215282	0.396104091	0.341314586	0.387723765	0.047460417	0.115283234	0.266777301	0.345086034	0.370385135	0.448217304	0.360272495	0.170277191	0.640269745	0.503904923	0.345594855	0.189488351	0.108133998	0.137855175	0.173605237	0.225538724	0.094894855	0.579164651	0.559395339	0.71271588	0.240140222	0.54957639	0.187619704
Stachyose	0.0	0.001472951	0.000502	0.0	0.003890494	0.001258687	0.000956	0.004932507	0.006768076	0.002703804	0.003878616	0.00222197	0.0	0.0	0.002008376	0.0	0.0	0.0	0.0	0.0	0.001252758	0.000216	0.002146106	0.000394	0.001196819	0.002878914	0.001053043	0.028158719	0.008308591	0.000381	0.00091	0.0	0.0	0.001544238	0.003924592	0.001978709	0.000461	0.004296943	0.000337	0.000211	0.006945528	0.002876386	0.0297283	0.002931175	0.007307321	0.0	0.000508	0.0	0.000276	0.0	0.000534	0.0	0.000879	0.002371854	0.000608	0.0	0.0	0.000319	0.00213792	0.000997	0.0	0.000475	0.009641902	0.0	0.0	0.000142	0.000324	0.0	0.0	0.0	0.001649018	0.0	0.002640238
Succinic Acid	0.061587454	0.089993913	0.089809695	0.034571631	0.098733031	0.10791694	0.083638079	0.080349138	0.040612787	0.049104984	0.093786395	0.103604901	0.086057325	0.066287374	0.067059047	0.10109641	0.090830719	0.074963133	0.037668344	0.05715688	0.036258051	0.054431431	0.036674957	0.104199554	0.184749442	0.175612408	3.284777714	0.90747802	3.398627254	0.144416492	0.092011702	0.047158178	0.069161421	4.133542872	3.028768353	3.633673936	0.40870641	0.517481499	0.051208293	0.064068599	0.0398219	6.083793741	5.434672139	1.227635802	0.051712593	0.091670491	0.078029899	0.051460957	0.030254939	0.085518571	0.02742962	0.051345475	0.025225864	4.155842351	0.043209194	0.058507498	0.04412238	0.109078537	0.069562218	0.0818839	0.078246513	0.120391627	0.667495081	0.082941459	0.104112353	0.029461479	0.073724393	0.070159573	0.114412574	0.134570544	0.102226197	0.074866199	0.073453031
Taurine	0.001676809	0.007071825	0.006027775	0.009243847	0.855347475	0.21244911	0.063609443	0.504749173	0.089856138	0.220737421	0.576501149	0.003271557	0.003843634	0.010321702	0.004408906	0.000893	0.016889908	0.080417484	0.163591445	0.446402075	0.288338258	0.000933	0.00377273	0.008809044	0.290128932	0.246158909	0.466622629	0.112085034	0.243599322	0.008394081	0.002778374	0.061772027	0.028583786	0.106538662	0.352674434	0.154244592	0.000439	0.275038048	0.00173851	0.001176333	0.028464115	0.404455824	0.230222772	0.207030158	0.047558078	0.001717594	0.003979465	0.003070053	0.001822172	0.001758342	0.000683	0.000485	0.00335676	0.293229198	0.741561764	0.002855625	0.000937	0.000636	1.105789839	0.001463769	0.014876206	0.158509029	0.098001787	0.000721	0.001609116	0.001274438	0.001119002	0.00314995	0.004917087	0.002726293	0.193363508	0.057514407	0.53616408
Thymidine	0.002361057	0.0	0.017139909	0.007175573	0.00971686	0.0	0.006643335	0.016083885	0.011172279	0.011852048	0.002922923	0.005474624	0.002832229	0.001644706	0.008110914	0.023970881	0.001127393	0.007709328	0.0	0.024301349	0.013257326	0.007532496	0.018584603	0.0	0.0	0.0	0.0	0.0	0.000426	0.013618582	0.00187677	0.011030809	0.023638222	0.010948189	0.001331924	0.004834081	0.004583636	0.0	0.004187796	0.005022333	0.018460057	0.084227363	0.009128675	0.015439741	0.019536952	0.003114096	0.087425814	0.021178176	0.005110999	0.005230355	0.0	0.000882	0.002222542	0.0	0.002499736	0.006625315	0.013341377	0.013662461	0.009021828	0.068349954	0.012113954	0.0	0.0	0.009250292	0.0	0.007216365	0.010031375	0.001359381	0.008079835	0.002042625	0.008522151	0.003866573	0.009872652
Thymine	0.002321584	0.026567375	0.056773483	0.095369782	0.04516433	0.043547055	0.050550442	0.094177884	0.019109654	0.026429465	0.061654453	0.081706343	0.047146359	0.018883049	0.092757572	0.025432503	0.110833282	0.088880286	0.049328881	0.186806176	0.028117827	0.015219048	0.046727415	0.0	0.138738024	0.016767697	0.399085143	0.084905981	0.014324204	0.033648541	0.016520972	0.056900729	0.070952409	0.038267986	0.105208112	0.209899359	0.053171653	0.019246709	0.026900202	0.01758594	0.081617291	0.126484673	0.049451596	0.122139918	0.15926501	0.04207796	0.247298738	0.149986802	0.015584835	0.021095799	0.210301341	0.145539899	0.066900609	0.002162256	0.036492432	0.347508893	0.041569763	0.039002499	0.071515495	0.465261871	0.050053556	0.021114527	0.049054014	0.022216641	0.020029213	0.070091316	0.029958201	0.024482962	0.0774213	0.017268136	0.071171299	0.074665621	0.047284863
Trehalose	0.005173595	0.033396923	0.012451445	0.006623676	0.024226924	0.054071159	0.029219564	0.034670815	0.018760378	0.013274757	0.055247431	0.013387784	0.003874377	0.01775971	0.035842825	0.016709297	0.041658237	0.013498148	0.00477748	0.006075598	0.042330751	0.004781906	0.012841185	0.012129189	0.017295004	0.020049374	0.015781033	0.42985801	0.166271787	0.007202534	0.009397612	0.005801969	0.005929995	0.032774297	0.052093925	0.034145802	0.009134343	0.036630475	0.007227163	0.00631558	0.060552759	0.020814427	0.127899529	0.058767664	0.030608856	0.010078944	0.012429008	0.006014173	0.002576027	0.008747323	0.014015864	0.017382114	0.027268415	0.025069572	0.007686189	0.010991209	0.007145297	0.00814767	0.027100709	0.016556948	0.015200387	0.010246039	0.077835161	0.009099797	0.010747514	0.003384312	0.004674666	0.012610996	0.012125801	0.012972228	0.012006851	0.007041009	0.026052794
Trimethyllysine	0.016030795	0.010553616	0.015225146	0.021412109	0.012850689	0.040602157	0.004283672	0.047644579	0.052077603	0.045704565	0.025931498	0.024413837	0.005302352	0.022148129	0.006060433	0.044577709	0.00797649	0.008189557	0.003701691	0.005543473	0.022961522	0.00312772	0.009605616	0.01182977	0.009667893	0.291025849	0.092054253	0.127126028	0.241593905	0.020768231	0.015302664	0.028334128	0.006784273	0.105791538	0.059467041	0.075415011	0.007761269	0.097026112	0.023826209	0.02450575	0.018716745	0.092403765	0.622612925	0.107260164	0.054433591	0.006806142	0.011252775	0.004826554	0.002567634	0.016922893	0.021557534	0.020968808	0.029039767	0.035648176	0.011579437	0.008647915	0.005821851	0.00936233	0.033509383	0.021934192	0.007813381	0.02557148	0.280669755	0.009421993	0.005459166	0.004195559	0.003118086	0.007305744	0.020452567	0.0079400889999999	0.005211727	0.052041075	0.118746295
Urocanate	0.030101183	0.069380356	0.216849672	0.285964624	0.262100282	0.026580615	0.02391563	0.066561689	0.087020316	0.075307442	0.051138547	0.160999295	0.203738139	0.212539765	0.061194618	0.035436322	0.234182655	0.287979953	0.140296635	0.127968778	0.071769953	0.152473371	0.114693624	0.04692795	0.398564038	0.025476548	0.015338625	0.020272517	0.174745699	0.175745443	0.071283596	0.406797176	0.343350562	0.031542377	0.053040851	0.444849779	0.019697785	0.025365817	0.116151975	0.070481729	0.090429653	0.795952731	0.035164854	0.079355736	0.130278501	0.022846956	0.183028651	0.061922173	0.014974688	0.053614683	0.082581009	0.055346309	0.023376505	0.022263581	0.015767515	0.059767909	0.036618073	0.075209684	0.173944749	0.31946258	0.030378162	0.05126495	0.045205643	0.038784452	0.034321077	0.129294651	0.190220423	0.062233173	0.03485386	0.031002861	0.040246886	0.070871454	0.021401524
